chart_date,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1993,0.23732338338754877,0.5808918920848025,250014.6131489423,0.6052607823671884,0.07359228607136123,0.21515273866719037,-10.5122050589667,0.07624995243022713,118.07522807066924,0.5251985666900499
1994,0.2576279568889008,0.5802054279035732,244108.74451496522,0.5870578441493647,0.060794853818498355,0.2094212149283908,-10.255979407611502,0.0856576627648125,118.05648018645164,0.5195669947772679
1995,0.24444453719499748,0.5679101380698306,249020.90782361804,0.610423925143687,0.06122384967979336,0.20789725532070671,-9.544238353456771,0.08561914803450113,117.5933240453188,0.5162571242016867
1996,0.25361961029348257,0.5677076810358574,255806.78993026505,0.6063129223226292,0.06887711807763236,0.2056680210939611,-9.382391285750591,0.09192858454965357,116.37611957249382,0.5111408008204852
1997,0.24961401170420203,0.584676216429737,248452.12729576867,0.6079094745987814,0.05875011316743543,0.20773809231920334,-9.086532168407256,0.09546864944969231,115.76213723883063,0.5273287617393315
1998,0.24269328602020604,0.5744790219883082,246840.93235680676,0.6245830764241365,0.05415926774244464,0.22377074498341698,-8.584474216587612,0.09625003770274235,116.61969649927428,0.5091758182756205
1999,0.23796656990869003,0.5796801301491149,249908.9445497163,0.6368822287964961,0.05924847932356978,0.22733547541869462,-8.609536004245708,0.10979354122497359,116.45903673463789,0.5093950878337518
2000,0.22021664462733428,0.5912246592923316,244980.9633260659,0.6485560740513984,0.047230562293997386,0.21707156502356523,-8.03470898106461,0.11189373645655674,116.8269902474163,0.5203753108105827
2001,0.2173259759365422,0.5943218397857283,240528.36156748552,0.6587689465689013,0.05375095497426461,0.2100751907915841,-7.653999071520381,0.11060315101172276,117.60041077702947,0.5298208900264778
2002,0.23440486433508917,0.5829638571614176,240847.31946021292,0.6530224501936438,0.05340986546777202,0.20090156993182628,-7.618694027174228,0.10439385578142857,117.28925657912177,0.5327658070904047
2003,0.21836600976781753,0.5748521289570826,243268.63958010575,0.6724978441237595,0.035057223529667524,0.20394165244856927,-6.987177235887779,0.10443520964435457,118.00684735313367,0.5160657324071731
2004,0.21067297292561085,0.5723693579824449,237035.89746198285,0.6827119413798786,0.03351460539563253,0.20993267049324638,-6.782739882250393,0.10854624737013231,119.58872788135272,0.5130168723219135
2005,0.21942585702705905,0.5682490932683029,239914.284814414,0.6810798836579588,0.035229567627294345,0.20695720743064752,-6.7925034971356615,0.10172216903263345,120.44963257905107,0.5099041905412619
2006,0.21963653370251524,0.5672621358436203,238477.98632796036,0.688601000153315,0.036105414112347384,0.21275716191699737,-6.610227395587041,0.10323122634597677,120.43683282369192,0.5008832965164389
2007,0.23484342959398435,0.5599864192512392,234871.1075184886,0.6780489933759942,0.03414722222134856,0.2074558533759697,-6.541882829897095,0.09277888986202491,122.0557078891787,0.4957312746074268
2008,0.23142804490697536,0.5507677533996751,237568.7365715785,0.673588749757235,0.040768606585944826,0.20304646839522433,-6.703650668568727,0.08467735075245789,123.24498550488289,0.486067324332661
2009,0.22062648607209334,0.5429909393553594,237805.5628562297,0.6821983102234916,0.04117854162281186,0.21039077861471286,-6.610615160034904,0.08152154614459677,123.29470332351255,0.4763917446359269
2010,0.21629998087418417,0.5573183872456203,242508.67633924988,0.6766283205844139,0.045559985605976086,0.2002862414304426,-6.79963623689227,0.08139963794824938,121.88507050920857,0.4936666565954277
2011,0.2267436517657572,0.5581925411618378,240813.3622849814,0.6731313284176411,0.045395764129748176,0.20045825898592534,-6.736706517852242,0.08062981879270471,121.56722834808582,0.48711388080309365
2012,0.2245732307944393,0.5575218399170534,240016.66019104197,0.676763496956287,0.047150757617666246,0.19842320731052832,-6.862159895390484,0.07919068791405057,121.50377997018279,0.48079600826459584
2013,0.24186637138667147,0.5524987480769142,237721.7432267237,0.6639797230369978,0.049114479067151454,0.20166549367613937,-6.980557059327871,0.08037484567960575,121.7321198322536,0.4731792385718513
2014,0.23745535647621757,0.5596903143336422,237038.41321444532,0.663349985935021,0.0524611176447518,0.19634781538943974,-7.148825972244398,0.08223168179595143,121.25643819907438,0.4809484617132842
2015,0.21506767936785767,0.5761436143640059,237075.8235957018,0.6748104398061053,0.0419251674027481,0.19957314698044182,-6.8758743325721285,0.09033247293482098,121.39504611767461,0.4865428410665918
2016,0.23069987413879584,0.583524108151456,235664.98798235058,0.652434409730584,0.03893896206951942,0.19624130673594348,-7.1120150416451136,0.10257283033678553,119.92052792492215,0.4708710096066124
2017,0.23595310660464988,0.6033281915765257,232431.5260890412,0.6353780152797296,0.04018556409888268,0.1897981088162784,-7.245009415333658,0.11314395338581029,120.1126393236181,0.47500916735258397
2018,0.2320753832142789,0.6143071285251342,227987.67562546412,0.6345862943472426,0.029145570878577314,0.18609472989083634,-7.166020958870823,0.12024720847736577,120.10850850680063,0.47355640412652067
2019,0.26158491530412303,0.6139583096710571,221807.8281265641,0.6086491621530673,0.039515129196566065,0.18113183062605936,-7.576607347702245,0.11746598972324254,119.5106710778443,0.46774408558804625
